"Region" "Total" "Telemetry" "Non-Telemetry"
"West Coast" 82 42 40
"South Coast" 59 47 12
"Okanagan-Kootenay" 48 41 7
"Thompson-Cariboo" 27 6 21
"North East" 10 5 5
"Omineca" 6 6 0
"Skeena" 5 4 1
