Identifier,DataSource
OW002,Telemetry
OW008,Telemetry
OW045,Non-Telemetry
OW035,Non-Telemetry
OW047,Non-Telemetry
OW058,Non-Telemetry
OW060,Telemetry
OW071,Non-Telemetry
OW075,Telemetry
OW074,Non-Telemetry
OW080,Non-Telemetry
OW082,Non-Telemetry
OW081,Non-Telemetry
OW088,Non-Telemetry
OW115,Telemetry
OW117,Telemetry
OW118,Telemetry
OW122,Telemetry
OW124,Non-Telemetry
OW125,Non-Telemetry
OW128,Telemetry
OW154,Non-Telemetry
OW172,Telemetry
OW180,Telemetry
OW185,Telemetry
OW196,Telemetry
OW197,Non-Telemetry
OW200,Telemetry
OW201,Telemetry
OW203,Telemetry
OW204,Non-Telemetry
OW211,Non-Telemetry
OW217,Telemetry
OW232,Telemetry
OW233,Non-Telemetry
OW236,Telemetry
OW240,Telemetry
OW255,Telemetry
OW259,Non-Telemetry
OW258,Telemetry
OW260,Non-Telemetry
OW261,Non-Telemetry
OW262,Telemetry
OW264,Non-Telemetry
OW265,Non-Telemetry
OW268,Telemetry
OW272,Telemetry
OW275,Telemetry
OW281,Telemetry
OW282,Telemetry
OW283,Telemetry
OW284,Non-Telemetry
OW286,Non-Telemetry
OW287,Non-Telemetry
OW288,Telemetry
OW289,Non-Telemetry
OW290,Telemetry
OW291,Telemetry
OW292,Non-Telemetry
OW293,Telemetry
OW295,Telemetry
OW294,Telemetry
OW296,Telemetry
OW299,Telemetry
OW302,Non-Telemetry
OW301,Telemetry
OW304,Non-Telemetry
OW303,Non-Telemetry
OW306,Telemetry
OW309,Telemetry
OW310,Telemetry
OW311,Non-Telemetry
OW312,Non-Telemetry
OW314,Telemetry
OW316,Telemetry
OW319,Telemetry
OW321,Non-Telemetry
OW320,Telemetry
OW327,Non-Telemetry
OW329,Telemetry
OW332,Non-Telemetry
OW337,Non-Telemetry
OW338,Non-Telemetry
OW340,Non-Telemetry
OW343,Non-Telemetry
OW344,Non-Telemetry
OW345,Non-Telemetry
OW349,Non-Telemetry
OW351,Non-Telemetry
OW353,Telemetry
OW354,Telemetry
OW355,Telemetry
OW356,Telemetry
OW357,Non-Telemetry
OW360,Telemetry
OW361,Telemetry
OW363,Telemetry
OW362,Telemetry
OW365,Non-Telemetry
OW364,Telemetry
OW369,Non-Telemetry
OW371,Telemetry
OW372,Non-Telemetry
OW373,Telemetry
OW374,Non-Telemetry
OW375,Non-Telemetry
OW376,Non-Telemetry
OW377,Telemetry
OW378,Telemetry
OW381,Non-Telemetry
OW383,Non-Telemetry
OW384,Telemetry
OW385,Telemetry
OW386,Telemetry
OW387,Telemetry
OW389,Telemetry
OW388,Telemetry
OW390,Telemetry
OW391,Telemetry
OW393,Telemetry
OW392,Telemetry
OW394,Non-Telemetry
OW395,Non-Telemetry
OW396,Telemetry
OW397,Telemetry
OW398,Non-Telemetry
OW399,Non-Telemetry
OW400,Non-Telemetry
OW401,Non-Telemetry
OW402,Telemetry
OW403,Telemetry
OW405,Telemetry
OW404,Telemetry
OW406,Telemetry
OW407,Telemetry
OW409,Telemetry
OW408,Non-Telemetry
OW410,Telemetry
OW411,Telemetry
OW412,Telemetry
OW413,Telemetry
OW414,Telemetry
OW415,Telemetry
OW416,Telemetry
OW417,Telemetry
OW418,Non-Telemetry
OW420,Telemetry
OW422,Non-Telemetry
OW425,Non-Telemetry
OW423,Non-Telemetry
OW424,Telemetry
OW427,Non-Telemetry
OW426,Non-Telemetry
OW428,Non-Telemetry
OW429,Non-Telemetry
OW430,Non-Telemetry
OW431,Non-Telemetry
OW432,Telemetry
OW433,Non-Telemetry
OW434,Non-Telemetry
OW436,Non-Telemetry
OW435,Telemetry
OW437,Non-Telemetry
OW438,Telemetry
OW441,Telemetry
OW439,Telemetry
OW440,Telemetry
OW443,Telemetry
OW442,Telemetry
OW444,Telemetry
OW445,Telemetry
OW446,Telemetry
OW447,Non-Telemetry
OW448,Telemetry
OW449,Telemetry
OW451,Telemetry
OW450,Telemetry
OW453,Telemetry
OW452,Telemetry
OW454,Telemetry
OW455,Telemetry
OW457,Telemetry
OW456,Non-Telemetry
OW458,Telemetry
OW459,Telemetry
OW461,Non-Telemetry
OW460,Telemetry
OW462,Telemetry
OW463,Telemetry
OW464,Non-Telemetry
OW468,Telemetry
OW467,Telemetry
OW470,Telemetry
OW469,Telemetry
OW471,Non-Telemetry
OW473,Telemetry
OW475,Telemetry
OW474,Non-Telemetry
OW476,Telemetry
OW477,Telemetry
OW479,Telemetry
OW478,Telemetry
OW480,Non-Telemetry
OW482,Telemetry
OW483,Telemetry
OW485,Telemetry
OW487,Telemetry
OW486,Telemetry
OW489,Non-Telemetry
OW488,Telemetry
OW490,Non-Telemetry
OW491,Telemetry
OW493,Non-Telemetry
OW492,Telemetry
OW495,Non-Telemetry
OW494,Telemetry
OW497,Telemetry
OW499,Telemetry
OW498,Telemetry
OW484,Telemetry
OW501,Telemetry
OW506,Telemetry
OW481,Non-Telemetry
OW496,Non-Telemetry
OW502,Telemetry
OW515,Telemetry
OW514,Telemetry
OW512,Telemetry
OW509,Telemetry
OW510,Telemetry
OW508,Telemetry
OW504,Telemetry
OW503,Telemetry
OW516,Telemetry
OW511,Telemetry
OW517,Telemetry
OW507,Telemetry
OW513,Non-Telemetry
OW518,Non-Telemetry
OW520,Non-Telemetry
