,ObsWell,GapHours,Region
0,OW002,1.0,South Coast
1,OW008,2.0,South Coast
2,OW035,0.0,Thompson-Cariboo
3,OW045,795.0,Thompson-Cariboo
4,OW047,0.0,Okanagan-Kootenay
5,OW058,1.0,West Coast
6,OW060,0.0,West Coast
7,OW071,0.0,West Coast
8,OW074,0.0,Okanagan-Kootenay
9,OW075,0.21666666666666679,Okanagan-Kootenay
10,OW080,1.0,Thompson-Cariboo
11,OW081,0.0,Thompson-Cariboo
12,OW082,0.0,Thompson-Cariboo
13,OW088,0.0,Thompson-Cariboo
14,OW115,1.0,Okanagan-Kootenay
15,OW117,3.0,Okanagan-Kootenay
16,OW118,1.7000000000000002,Okanagan-Kootenay
17,OW122,0.0,Okanagan-Kootenay
18,OW124,7.0,Northeast
19,OW125,0.0,West Coast
20,OW128,0.0,West Coast
21,OW154,2540.0,Okanagan-Kootenay
22,OW172,2.166666666666667,Okanagan-Kootenay
23,OW180,402.0,Okanagan-Kootenay
24,OW185,0.0,Thompson-Cariboo
25,OW196,0.0,West Coast
26,OW197,0.0,West Coast
27,OW200,0.0,Skeena
28,OW201,3.0,West Coast
29,OW203,1.35,Okanagan-Kootenay
30,OW204,0.0,West Coast
31,OW211,0.0,West Coast
32,OW217,1.0,Okanagan-Kootenay
33,OW232,1.0,West Coast
34,OW233,0.0,West Coast
35,OW236,191.26666666666668,Okanagan-Kootenay
36,OW240,0.0,West Coast
37,OW255,1.0,South Coast
38,OW258,0.0,West Coast
39,OW259,105.0,South Coast
40,OW260,0.0,Thompson-Cariboo
41,OW261,1311.0,Thompson-Cariboo
42,OW262,2.0,Okanagan-Kootenay
43,OW264,3597.0,Okanagan-Kootenay
44,OW265,0.0,West Coast
45,OW268,0.0,West Coast
46,OW272,0.0,South Coast
47,OW275,1.0,South Coast
48,OW281,0.0,West Coast
49,OW282,0.0,Okanagan-Kootenay
50,OW283,72.0,West Coast
51,OW286,0.0,Northeast
52,OW287,0.0,West Coast
53,OW288,68.0,West Coast
54,OW289,0.0,Thompson-Cariboo
55,OW290,0.0,West Coast
56,OW291,2.35,Okanagan-Kootenay
57,OW292,0.0,South Coast
58,OW293,67.0,Omineca
59,OW294,2.1166666666666667,Okanagan-Kootenay
60,OW295,0.0,West Coast
61,OW296,1.0,Thompson-Cariboo
62,OW299,1.0,South Coast
63,OW301,0.0,South Coast
64,OW302,3.0,Thompson-Cariboo
65,OW303,1.0,West Coast
66,OW304,0.0,West Coast
67,OW306,0.0,Okanagan-Kootenay
68,OW309,0.0,Okanagan-Kootenay
69,OW310,0.0,West Coast
70,OW311,8.0,Okanagan-Kootenay
71,OW312,2.0,West Coast
72,OW314,15.0,West Coast
73,OW316,0.0,West Coast
74,OW319,1.0,West Coast
75,OW320,0.0,West Coast
76,OW321,0.0,West Coast
77,OW327,0.0,West Coast
78,OW329,0.0,West Coast
79,OW332,0.0,Okanagan-Kootenay
80,OW337,4264.0,West Coast
81,OW338,0.0,West Coast
82,OW340,0.0,West Coast
83,OW343,0.0,West Coast
84,OW344,0.0,Thompson-Cariboo
85,OW345,0.0,West Coast
86,OW349,0.0,South Coast
87,OW351,0.0,West Coast
88,OW353,0.0,South Coast
89,OW354,0.0,South Coast
90,OW355,0.0,West Coast
91,OW356,0.0,Okanagan-Kootenay
92,OW357,0.0,South Coast
93,OW360,2.0,South Coast
94,OW361,4.0,South Coast
95,OW362,0.0,Okanagan-Kootenay
96,OW363,0.0,Okanagan-Kootenay
97,OW364,0.0,Thompson-Cariboo
98,OW365,0.0,Thompson-Cariboo
99,OW369,0.0,West Coast
100,OW371,0.0,West Coast
101,OW372,0.0,West Coast
102,OW373,0.0,West Coast
103,OW374,0.0,Thompson-Cariboo
104,OW375,1.0,Thompson-Cariboo
105,OW376,0.0,Thompson-Cariboo
106,OW377,0.0,Skeena
